run,seed,run_id,R2,RMSE,MAE,equation,elapsed_s
1,42,run_20260323_183419_seed42,0.8784386364543464,9.676235971808774,6.299615145870072,-0.00014813543*V0*V0*t_hours + V0,191.0426526069641
2,43,run_20260323_183735_seed43,0.8825661924756721,9.510541400845486,6.236366604287779,V0*exp(t_hours*V0*(-0.00018801997)),87.02959203720093
3,44,run_20260323_183907_seed44,0.8784386364543464,9.676235971808774,6.299615145870072,-0.00014813543*V0*V0*t_hours + V0,83.77183890342712
4,45,run_20260323_184031_seed45,0.8825661952838807,9.510541287132138,6.236682695808253,V0/exp(V0*t_hours*0.00018807616),89.35238409042358
5,46,run_20260323_184206_seed46,0.8825661881016253,9.51054157796464,6.23632086725729,V0*exp(t_hours*V0*(-0.00018801184)),89.72999930381775
6,47,run_20260323_184340_seed47,0.882566158355939,9.51054278246258,6.236126660713606,V0*exp(V0*t_hours*(-0.00018797732)),90.67277145385742
7,48,run_20260323_184516_seed48,0.8825661895309855,9.510541520085274,6.236334706572679,V0*exp(t_hours*V0*(-0.0001880143)),84.89326238632202
8,49,run_20260323_184646_seed49,0.8795355089334423,9.632481741803025,6.45978163073649,V0*(0.9842463 - 0.00014023858*V0*t_hours),88.15596270561218
9,50,run_20260323_184819_seed50,0.88256619668667,9.510541230328704,6.23665985766905,V0*exp(V0*t_hours*(-0.0001880721)),84.65092206001282
10,51,run_20260323_184948_seed51,0.8795355088195889,9.632481746354951,6.459705621974458,V0*(0.9842591 - 0.00014025411*V0*t_hours),87.75236415863037
11,52,run_20260323_185120_seed52,0.8825661741738603,9.510542141944395,6.236871076353674,V0*exp(V0*(-0.00018810965)*t_hours),84.90775060653687
12,53,run_20260323_185250_seed53,0.8795355097651392,9.632481708551298,6.45966405762522,V0*(0.9842588 - 0.00014024881*V0*t_hours),82.93663954734802
