SID,NAME,SEASON,V0,alpha,Vb,R2_storm,RMSE_storm,n_points,duration_h,STORM_SPD_mean,h_point_mean,h_point_max,h_max_mean,h_max_max,h_mean_mean,h_mean_max,h_std_mean,h_std_max,RMW_landfall
1977194N06142,SARAH,1977,38,0.008695614177077466,59.99999999999999,0.5624779547674454,1.7103927212843273,13,36.0,13.461538461538462,118.3755369919997,454.7718200683594,1386.38624220628,2464.334716796875,121.49293521719551,233.93492137643463,170.70258862584626,329.6026971509891,
1977254N19147,DINAH,1977,60,0.09235161452191633,34.45860835871999,0.9468365350836917,1.6052885365337322,6,15.0,11.666666666666666,234.85540466308595,696.5519409179688,1833.631689453125,2561.523193359375,313.55158136175476,572.795598478229,342.58111135887225,536.5173018859903,
1977308N07156,KIM,1977,110,0.039422387768662324,6.873353902432814e-23,0.9773951874225251,2.3859580883811176,5,12.0,12.0,165.09407081604004,815.4558715820312,1308.4861808776855,2023.8634033203125,171.12013585062653,338.121977302896,203.36977194494278,347.5666100372916,
1978105N04149,OLIVE,1978,55,0.0010000000000000826,37.279586627005465,-0.09429770230312706,3.362698756028999,6,15.0,13.666666666666666,0.7642076015472412,2.5537328720092773,1168.8513285319011,2046.548095703125,65.32653975891952,116.5091582399254,131.81351776374893,243.85050399557937,
1978264N08147,LOLA,1978,48,0.9999999999999999,50.01263933193035,0.9975593213095533,0.031051871793901276,9,24.0,11.555555555555555,101.61152331034343,621.5706176757812,1709.7949083116318,2464.334716796875,107.31500908468837,146.3481578933133,168.43018214924007,206.0834233972233,
1978279N14142,NINA,1978,50,0.406956953462761,45.820942144678945,0.6235806448677209,1.19686455714182,6,15.0,7.833333333333333,78.14070892333983,304.2567749023437,1556.2950439453125,1601.646484375,197.8656026389334,289.9403831837134,240.54365963711615,258.8127585177197,
1978288N10185,RITA,1978,113,0.04312596672046368,5.64532731890493e-15,0.9968240728750302,0.9207852655651897,5,12.0,15.2,280.4888459444046,595.71875,1707.0619659423828,2250.858154296875,188.93927007337837,250.34830784533983,267.2967264524323,386.8899337772152,
1979098N02144,CECIL,1979,80,0.01074421483477637,5.679245020541141e-16,0.9948942648410785,0.30033534780466314,6,15.0,11.0,59.72722593943278,160.8966827392578,1143.8963063557942,2046.548095703125,83.42204241574058,141.41931716864875,149.25321780308843,212.613550165206,
1979254N10140,MAC,1979,60,0.011937620628196283,1.4807667307198752e-11,0.9270444511461294,2.069643628913106,17,48.0,6.588235294117647,74.52084241193883,392.8244323730469,1556.317569508272,2464.334716796875,130.38166823383605,289.24571162646424,182.53652618810125,379.01258002056255,
1979350N07153,BEN,1979,50,0.9999999999999999,44.86103007265744,0.11666314248081888,4.207382871178281,10,27.0,14.2,58.12929077148438,266.1425476074219,1432.374951171875,2578.5234375,129.78702089021834,397.9283961142723,193.8511643529738,455.2920660681488,
1980137N04158,FORREST,1980,53,0.999999999999982,49.92131377702156,0.9982311918579185,0.05947786381640689,3,6.0,13.0,0.0,0.0,937.4838663736979,1030.6390380859375,103.45457711840653,136.23615215409552,144.95972142157652,166.49852947981958,
1980197N07154,JOE,1980,88,0.30128305543339023,59.99999999999999,0.8720502194298834,3.403987680416862,5,12.0,16.0,187.60411071777344,428.2593383789063,1835.6239929199219,2830.263916015625,390.9173177261274,732.0842079678939,386.55631744201315,657.1622594823366,
