SID,NAME,SEASON,ISO_TIME,LAT,LON,USA_WIND,V0,V_norm,t_hours,DIST2LAND,LANDFALL,STORM_SPD,STORM_DR,USA_RMW,h_point,h_max,h_mean,h_std
1977194N06142,SARAH,1977,1977-07-16 21:00:00,11.7,126.0,38,38,1.0,0.0,54,0,17,305,0,0.0,274.516845703125,21.046017748055537,51.949002849381216
1977194N06142,SARAH,1977,1977-07-17 00:00:00,12.2,125.4,40,38,1.0526315789473684,3.0,0,0,15,305,0,74.5553207397461,835.3450927734375,114.54099978018755,136.10572053476355
1977194N06142,SARAH,1977,1977-07-17 03:00:00,12.6,124.8,40,38,1.0526315789473684,6.0,15,15,13,305,0,0.0,839.1859130859375,96.21751196195865,112.70959310709858
1977194N06142,SARAH,1977,1977-07-17 06:00:00,12.9,124.4,40,38,1.0526315789473684,9.0,32,0,12,305,0,0.0,1560.3681640625,60.83631305960444,128.2945433635889
1977194N06142,SARAH,1977,1977-07-17 09:00:00,13.2,123.9,40,38,1.0526315789473684,12.0,0,0,12,300,0,0.0,2464.334716796875,113.62933339417312,194.28586890584808
1977194N06142,SARAH,1977,1977-07-17 12:00:00,13.6,123.4,40,38,1.0526315789473684,15.0,0,0,13,300,0,272.429931640625,2464.334716796875,122.33980759666284,202.8443906033625
1977194N06142,SARAH,1977,1977-07-17 15:00:00,13.9,122.8,40,38,1.0526315789473684,18.0,0,0,14,300,0,454.7718200683594,1526.462646484375,90.91530832454298,131.65911346862148
1977194N06142,SARAH,1977,1977-07-17 18:00:00,14.2,122.2,40,38,1.0526315789473684,21.0,11,0,14,305,0,0.0,718.9882202148438,54.19279902301394,79.63473418934905
1977194N06142,SARAH,1977,1977-07-17 21:00:00,14.6,121.6,40,38,1.0526315789473684,24.0,0,0,13,305,0,89.96363830566406,1528.487548828125,220.21696677235957,247.4406145169431
1977194N06142,SARAH,1977,1977-07-18 00:00:00,15.0,121.1,40,38,1.0526315789473684,27.0,0,0,13,305,0,240.99911499023438,1601.646484375,206.81822693751585,253.262315296795
1977194N06142,SARAH,1977,1977-07-18 03:00:00,15.4,120.5,43,38,1.131578947368421,30.0,0,0,12,305,0,89.15534973144531,2023.8634033203125,211.05194810650374,304.8841303108124
1977194N06142,SARAH,1977,1977-07-18 06:00:00,15.7,120.0,45,38,1.1842105263157894,33.0,0,0,13,295,0,317.0068054199219,2023.8634033203125,233.93492137643466,329.6026971509891
1977194N06142,SARAH,1977,1977-07-18 09:00:00,15.9,119.4,48,38,1.263157894736842,36.0,33,33,14,290,0,0.0,161.62399291992188,33.66800374252865,46.460927838448264
1977254N19147,DINAH,1977,1977-09-15 12:00:00,18.2,122.6,60,60,1.0,0.0,33,0,12,245,0,0.0,1136.983154296875,171.49515677467159,221.31459477937483
1977254N19147,DINAH,1977,1977-09-15 15:00:00,18.0,122.0,55,60,0.9166666666666666,3.0,0,0,13,250,0,360.1861572265625,1806.1920166015625,200.80737287048362,283.08852705210137
1977254N19147,DINAH,1977,1977-09-15 18:00:00,17.7,121.3,50,60,0.8333333333333334,6.0,0,0,13,250,0,696.5519409179688,2561.523193359375,520.1420190740392,509.9287063409074
1977254N19147,DINAH,1977,1977-09-15 21:00:00,17.5,120.6,45,60,0.75,9.0,0,0,12,255,0,117.53892517089844,2561.523193359375,572.795598478229,536.5173018859903
1977254N19147,DINAH,1977,1977-09-16 00:00:00,17.4,120.1,40,60,0.6666666666666666,12.0,30,30,11,255,0,0.0,1101.9368896484375,102.51775961135027,162.05642673598732
1977254N19147,DINAH,1977,1977-09-16 03:00:00,17.3,119.6,43,60,0.7166666666666667,15.0,81,81,9,260,0,,,,
1977308N07156,KIM,1977,1977-11-13 18:00:00,14.8,121.9,110,110,1.0,0.0,24,0,12,280,0,0.0,1295.172119140625,146.4011432761922,210.4728000454402
1977308N07156,KIM,1977,1977-11-13 21:00:00,15.0,121.3,100,110,0.9090909090909092,3.0,0,0,12,285,0,815.4558715820312,1601.646484375,238.67289014272083,258.2397147778989
1977308N07156,KIM,1977,1977-11-14 00:00:00,15.1,120.7,90,110,0.8181818181818182,6.0,0,0,13,285,0,10.014482498168945,1582.8270263671875,132.06118754879645,198.34668602824635
1977308N07156,KIM,1977,1977-11-14 03:00:00,15.2,120.0,78,110,0.7090909090909091,9.0,10,0,12,285,0,0.0,2023.8634033203125,338.12197730289597,347.5666100372916
1977308N07156,KIM,1977,1977-11-14 06:00:00,15.4,119.4,65,110,0.5909090909090909,12.0,53,53,11,285,0,0.0,38.921871185302734,0.3434809825269603,2.2230488358368587
1978105N04149,OLIVE,1978,1978-04-19 18:00:00,10.8,126.0,55,55,1.0,0.0,31,0,14,290,0,2.03151273727417,924.7689208984375,27.84272332716426,91.81181010397263
1978105N04149,OLIVE,1978,1978-04-19 21:00:00,11.1,125.4,58,55,1.0545454545454545,3.0,0,0,14,290,0,0.0,718.5282592773438,80.21622347354676,114.0151717950265
1978105N04149,OLIVE,1978,1978-04-20 00:00:00,11.3,124.7,60,55,1.0909090909090908,6.0,0,0,14,290,0,2.5537328720092773,1365.8863525390625,116.5091582399254,191.22866683848127
1978105N04149,OLIVE,1978,1978-04-20 03:00:00,11.6,124.0,58,55,1.0545454545454545,9.0,15,15,14,290,0,0.0,1365.8863525390625,31.5232111028909,85.90598683639956
