SID,NAME,SEASON,ISO_TIME,LAT,LON,USA_WIND,V0,V_norm,t_hours,DIST2LAND,LANDFALL,STORM_SPD,STORM_DR,USA_RMW
1977194N06142,SARAH,1977,1977-07-16 21:00:00,11.7,126.0,38,38,1.0,0.0,54,0,17,305,0
1977194N06142,SARAH,1977,1977-07-17 00:00:00,12.2,125.4,40,38,1.0526315789473684,3.0,0,0,15,305,0
1977194N06142,SARAH,1977,1977-07-17 03:00:00,12.6,124.8,40,38,1.0526315789473684,6.0,15,15,13,305,0
1977194N06142,SARAH,1977,1977-07-17 06:00:00,12.9,124.4,40,38,1.0526315789473684,9.0,32,0,12,305,0
1977194N06142,SARAH,1977,1977-07-17 09:00:00,13.2,123.9,40,38,1.0526315789473684,12.0,0,0,12,300,0
1977194N06142,SARAH,1977,1977-07-17 12:00:00,13.6,123.4,40,38,1.0526315789473684,15.0,0,0,13,300,0
1977194N06142,SARAH,1977,1977-07-17 15:00:00,13.9,122.8,40,38,1.0526315789473684,18.0,0,0,14,300,0
1977194N06142,SARAH,1977,1977-07-17 18:00:00,14.2,122.2,40,38,1.0526315789473684,21.0,11,0,14,305,0
1977194N06142,SARAH,1977,1977-07-17 21:00:00,14.6,121.6,40,38,1.0526315789473684,24.0,0,0,13,305,0
1977194N06142,SARAH,1977,1977-07-18 00:00:00,15.0,121.1,40,38,1.0526315789473684,27.0,0,0,13,305,0
1977194N06142,SARAH,1977,1977-07-18 03:00:00,15.4,120.5,43,38,1.131578947368421,30.0,0,0,12,305,0
1977194N06142,SARAH,1977,1977-07-18 06:00:00,15.7,120.0,45,38,1.1842105263157894,33.0,0,0,13,295,0
1977194N06142,SARAH,1977,1977-07-18 09:00:00,15.9,119.4,48,38,1.263157894736842,36.0,33,33,14,290,0
1977254N19147,DINAH,1977,1977-09-15 12:00:00,18.2,122.6,60,60,1.0,0.0,33,0,12,245,0
1977254N19147,DINAH,1977,1977-09-15 15:00:00,18.0,122.0,55,60,0.9166666666666666,3.0,0,0,13,250,0
1977254N19147,DINAH,1977,1977-09-15 18:00:00,17.7,121.3,50,60,0.8333333333333334,6.0,0,0,13,250,0
1977254N19147,DINAH,1977,1977-09-15 21:00:00,17.5,120.6,45,60,0.75,9.0,0,0,12,255,0
1977254N19147,DINAH,1977,1977-09-16 00:00:00,17.4,120.1,40,60,0.6666666666666666,12.0,30,30,11,255,0
1977254N19147,DINAH,1977,1977-09-16 03:00:00,17.3,119.6,43,60,0.7166666666666667,15.0,81,81,9,260,0
1977308N07156,KIM,1977,1977-11-13 18:00:00,14.8,121.9,110,110,1.0,0.0,24,0,12,280,0
1977308N07156,KIM,1977,1977-11-13 21:00:00,15.0,121.3,100,110,0.9090909090909091,3.0,0,0,12,285,0
1977308N07156,KIM,1977,1977-11-14 00:00:00,15.1,120.7,90,110,0.8181818181818182,6.0,0,0,13,285,0
1977308N07156,KIM,1977,1977-11-14 03:00:00,15.2,120.0,78,110,0.7090909090909091,9.0,10,0,12,285,0
1977308N07156,KIM,1977,1977-11-14 06:00:00,15.4,119.4,65,110,0.5909090909090909,12.0,53,53,11,285,0
1978105N04149,OLIVE,1978,1978-04-19 18:00:00,10.8,126.0,55,55,1.0,0.0,31,0,14,290,0
1978105N04149,OLIVE,1978,1978-04-19 21:00:00,11.1,125.4,58,55,1.0545454545454545,3.0,0,0,14,290,0
1978105N04149,OLIVE,1978,1978-04-20 00:00:00,11.3,124.7,60,55,1.0909090909090908,6.0,0,0,14,290,0
1978105N04149,OLIVE,1978,1978-04-20 03:00:00,11.6,124.0,58,55,1.0545454545454545,9.0,15,15,14,290,0
1978105N04149,OLIVE,1978,1978-04-20 06:00:00,11.9,123.4,55,55,1.0,12.0,24,0,13,295,0
1978105N04149,OLIVE,1978,1978-04-20 09:00:00,12.1,122.8,50,55,0.9090909090909091,15.0,44,44,13,295,0
1978264N08147,LOLA,1978,1978-09-26 15:00:00,12.9,124.2,48,48,1.0,0.0,10,0,10,290,0
1978264N08147,LOLA,1978,1978-09-26 18:00:00,13.1,123.7,50,48,1.0416666666666667,3.0,0,0,12,290,0
1978264N08147,LOLA,1978,1978-09-26 21:00:00,13.3,123.0,50,48,1.0416666666666667,6.0,24,0,13,290,0
1978264N08147,LOLA,1978,1978-09-27 00:00:00,13.5,122.4,50,48,1.0416666666666667,9.0,0,0,12,290,0
1978264N08147,LOLA,1978,1978-09-27 03:00:00,13.7,121.9,50,48,1.0416666666666667,12.0,24,0,11,290,0
1978264N08147,LOLA,1978,1978-09-27 06:00:00,13.9,121.4,50,48,1.0416666666666667,15.0,0,0,11,290,0
1978264N08147,LOLA,1978,1978-09-27 09:00:00,14.1,120.9,50,48,1.0416666666666667,18.0,0,0,11,290,0
1978264N08147,LOLA,1978,1978-09-27 12:00:00,14.3,120.3,50,48,1.0416666666666667,21.0,24,24,12,290,0
1978264N08147,LOLA,1978,1978-09-27 15:00:00,14.5,119.7,50,48,1.0416666666666667,24.0,54,54,12,290,0
1978279N14142,NINA,1978,1978-10-09 18:00:00,15.0,121.5,50,50,1.0,0.0,0,0,11,260,0
1978279N14142,NINA,1978,1978-10-09 21:00:00,14.9,121.0,48,50,0.96,3.0,0,0,10,255,0
1978279N14142,NINA,1978,1978-10-10 00:00:00,14.8,120.5,45,50,0.9,6.0,0,0,8,255,0
1978279N14142,NINA,1978,1978-10-10 03:00:00,14.7,120.1,45,50,0.9,9.0,10,10,6,260,0
1978279N14142,NINA,1978,1978-10-10 06:00:00,14.7,119.9,45,50,0.9,12.0,24,24,6,270,0
1978279N14142,NINA,1978,1978-10-10 09:00:00,14.7,119.5,48,50,0.96,15.0,65,65,6,275,0
1978288N10185,RITA,1978,1978-10-26 15:00:00,15.1,121.8,113,113,1.0,0.0,34,0,15,300,0
1978288N10185,RITA,1978,1978-10-26 18:00:00,15.5,121.2,100,113,0.8849557522123894,3.0,0,0,16,305,0
