complexity,loss,equation,score,sympy_format,lambda_format,R2,RMSE,MAE
1,452.86975,V0,0.0,V0,PySRFunction(X=>V0),0.3758752864734177,21.280736762959897,12.693156732891833
3,253.43513,V0 / 1.2051187,0.29024833184861326,V0/1.2051187,PySRFunction(X=>V0/1.2051187),0.6507270517563991,15.919647415100512,11.682749119706907
5,229.4428,(V0 * 0.69001865) + 12.58963,0.049727065942496256,V0*0.69001865 + 12.58963,PySRFunction(X=>V0*0.69001865 + 12.58963),0.6837922073592426,15.147370701658907,10.777712808498896
6,189.67046,sqrt(V0 * 80.52084) - t_hours,0.19036561570478844,8.97334051510362*sqrt(V0) - t_hours,PySRFunction(X=>8.97334051510362*sqrt(V0) - t_hours),0.7386046815047673,13.77209064272218,10.929069795119588
7,144.12483,V0 * ((t_hours * -0.013555843) + 0.9659492),0.27460834620135294,V0*(0.9659492 + t_hours*(-0.013555843)),PySRFunction(X=>V0*(0.9659492 + t_hours*(-0.013555843))),0.801373628922153,12.00520067065214,8.094052458653422
8,143.81267,(V0 * (sqrt(t_hours) * -0.06685566)) + V0,0.002168249167243558,-0.06685566*V0*sqrt(t_hours) + V0,PySRFunction(X=>-0.06685566*V0*sqrt(t_hours) + V0),0.8018038413358917,11.99219236260496,7.726923131820949
9,97.089264,V0 * ((V0 * (t_hours * -0.00014969475)) + 0.9841478),0.3928807471316307,V0*(V0*t_hours*(-0.00014969475) + 0.9841478),PySRFunction(X=>V0*(V0*t_hours*(-0.00014969475) + 0.9841478)),0.8661959169883766,9.853389550472052,6.473306689983443
11,89.32529,((((V0 * t_hours) + h_mean) * -0.00015179922) + 1.0184994) * V0,0.041673076141142434,V0*(1.0184994 + (V0*t_hours + h_mean)*(-0.00015179922)),PySRFunction(X=>V0*(1.0184994 + (V0*t_hours + h_mean)*(-0.00015179922))),0.8768958906781456,9.451206341942662,6.120904283171646
13,85.660545,V0 * (((h_mean + ((V0 + -27.39576) * t_hours)) * -0.0001950449) + 1.01859),0.02094615797294844,V0*(1.01859 + (h_mean + t_hours*(V0 - 27.39576))*(-0.0001950449)),PySRFunction(X=>V0*(1.01859 + (h_mean + t_hours*(V0 - 27.39576))*(-0.0001950449))),0.8819464868976506,9.255298446393233,6.1619462836751016
15,85.51421,(((h_mean + ((V0 + -30.183163) * t_hours)) * 0.00020570666) + -1.0361507) * (1.3458111 - V0),0.000854886783093305,(1.3458111 - V0)*((h_mean + t_hours*(V0 - 30.183163))*0.00020570666 - 1.0361507),PySRFunction(X=>(1.3458111 - V0)*((h_mean + t_hours*(V0 - 30.183163))*0.00020570666 - 1.0361507)),0.8821481701391073,9.247389166661652,6.213695319921758
16,83.33196,(((abs(V0 - h_mean) + ((V0 + -31.58316) * t_hours)) * -0.00020744056) + 1.0059057) * V0,0.0258504119052884,V0*(1.0059057 + (t_hours*(V0 - 31.58316) + Abs(V0 - h_mean))*(-0.00020744056)),PySRFunction(X=>V0*(1.0059057 + (t_hours*(V0 - 31.58316) + Abs(V0 - h_mean))*(-0.00020744056))),0.8851556362937475,9.128634372935887,6.112905296684328
17,83.31889,V0 + (V0 * ((-0.00017936778 - (0.001749929 / h_mean)) * (h_mean + (t_hours * (V0 + -31.900599))))),0.00015685488585021913,V0*(-0.00017936778 - 0.001749929/h_mean)*(h_mean + t_hours*(V0 - 31.900599)) + V0,PySRFunction(X=>V0*(-0.00017936778 - 0.001749929/h_mean)*(h_mean + t_hours*(V0 - 31.900599)) + V0),0.8851736349076919,9.127919016959437,6.298460537203886
